Country,Year,comp_1,comp_2,comp_3,comp_4,comp_5
Rwanda,2015,0.9723382761838101,0.027456277770696338,2.05443360778443e-4,2.6439564643570655e-9,4.075829128407986e-11
Saudi Arabia,2015,0.018257541670534932,7.501066280292762e-5,0.15295682564310162,0.8280862146358691,6.244073876915219e-4
Senegal,2015,0.07370588646121166,0.8701312007426223,0.05615858575895677,4.327037208783837e-6,4.349754185139064e-16
Serbia,2015,0.027475444475889052,0.046578679906776915,0.911081138691492,0.014864736924943153,8.988189409037176e-13
Sierra Leone,2015,0.05634702520162413,0.9382732341117743,0.005379720795534193,1.989106741143796e-8,6.12246960850507e-19
Singapore,2015,0.0034235567269692135,9.477758645354673e-10,4.424648737741708e-6,9.747908477379748e-6,0.9965622697680395
Slovakia,2015,0.00788382545712899,3.2987046955796994e-4,0.4705621576754198,0.5212241304385308,1.5959362581381604e-8
Slovenia,2015,0.01460696482958239,4.520244475883088e-5,0.12921744502586271,0.8554755841191872,6.548035806087292e-4
Somalia,2015,0.6309134507751911,0.36885426424994655,2.3228485602619505e-4,1.1883573866793512e-10,3.0621471687487155e-16
South Africa,2015,0.049812700392408614,0.21374996378101394,0.7339477349532801,0.002489600873208704,8.873373379001986e-14
South Sudan,2015,0.022615129857192842,0.9773342684486508,5.060169410007739e-5,5.66546645013008e-14,4.049438011071842e-29
Spain,2015,0.004020936840111654,6.437133659112392e-6,0.08804734777567165,0.907900962113238,2.4316137319515577e-5
Sri Lanka,2015,0.6949834858250356,0.12156291272948329,0.18151002268131491,0.0019429911386132117,5.876255528559374e-7
Sudan,2015,0.04943064107377703,0.870146790024829,0.08041802368077738,4.545220616701612e-6,1.1893618292058163e-17
Sweden,2015,0.002943747552961271,6.976025317926464e-11,3.9751249701169824e-7,4.246365676594564e-7,0.9970554302282142
Switzerland,2015,7.974823217461349e-4,1.47926294463579e-11,4.879143653948771e-7,2.2768694547749912e-6,0.9991997528796412
Taiwan Province of China,2015,0.014049588207667036,1.4297797772522063e-4,0.21288063865664827,0.7728763633047536,5.043185320567727e-5
Tajikistan,2015,0.2708736408940068,0.49689666958907175,0.23177586655615282,4.538228545480957e-4,1.0622036836253251e-10
Tanzania,2015,0.08165580019278276,0.9126927368054675,0.005651431267038091,3.173471179228315e-8,8.595155576449273e-18
Thailand,2015,0.9246492910352663,7.653067583991165e-4,0.023704734730638777,0.003758653881387634,0.04712201359430873
Togo,2015,0.028331097443281952,0.9716438603393777,2.504221732706422e-5,1.3607784269048163e-14,2.801515430269524e-29
Trinidad and Tobago,2015,0.06977081128576236,0.0013427789114021122,0.3880019666953118,0.5406387829484718,2.456601590519905e-4
Tunisia,2015,0.03613436956704617,0.16844736016930445,0.7941753584509036,0.001242911812745316,6.36962039601449e-16
Turkey,2015,0.023066284681947217,0.013066017944360532,0.8812031862531478,0.0826645109153322,2.05212144628923e-10
Turkmenistan,2015,0.1900940981091455,0.004540759017082355,0.48238932421463854,0.3225261522163519,4.496664427819711e-4
Uganda,2015,0.12346526011849242,0.8548894676111186,0.021644352395459057,9.198749277068957e-7,2.5266108357680094e-15
Ukraine,2015,0.02620942610696132,0.051207639719396784,0.9126304343633808,0.009952499810109375,1.5186416382072072e-13
United Arab Emirates,2015,0.005706618426640796,1.6061616111913267e-8,7.602926981296777e-5,3.532311687216396e-4,0.9938641050732088
United Kingdom,2015,0.04436956401935634,1.2650880343708449e-8,6.018274191716626e-6,1.4316088768426218e-6,0.9556229734466947
United States,2015,0.023003969359074592,7.041284115236273e-7,0.002583826340383237,0.01739440799727225,0.9570170921748585
Uruguay,2015,0.10547063761106891,3.4081605638129106e-5,0.07003249249995255,0.4292048409826961,0.3952579473006439
Uzbekistan,2015,0.6676754353111795,9.94041842723184e-4,0.12683336125790928,0.09105475757027404,0.11344240401791422
Vietnam,2015,0.09222120085711114,0.022084637387548452,0.7596011078898133,0.12609267407982844,3.797856988787704e-7
Zambia,2015,0.19078221869526468,0.6123803701790439,0.196634449157364,2.0296196259579524e-4,5.7318619942931676e-12
Zimbabwe,2015,0.049164984692264484,0.896812286056821,0.054020615798306144,2.1134526082401116e-6,8.615872174428623e-18
Afghanistan,2016,0.044864157207507895,0.9551323607668776,3.482025614474653e-6,1.11740469066335e-16,1.7607118636279466e-31
Albania,2016,0.06228495829979369,0.35052370506154995,0.5860936583419866,0.0010976782966184157,5.136499377517882e-14
Algeria,2016,0.018063725880625908,0.008187738735371937,0.876584443272469,0.09716409200205268,1.094804277751317e-10
Angola,2016,0.017878452064953827,0.9803131084687605,0.0018084394081657699,5.8120123380909804e-11,6.742187287959622e-28
Argentina,2016,0.007527998361970737,2.0072954118045618e-4,0.35108483596117795,0.6411862822303761,1.539052948781729e-7
Armenia,2016,0.047577442132187654,0.5740136886912114,0.3783851545757937,2.3714600807593726e-5,5.872525696807874e-20
Australia,2016,0.023299119509351214,1.3450765114632559e-8,1.0455445483079507e-5,5.337060546577983e-6,0.9766850745338542
Austria,2016,0.04243817076144216,2.815401863073221e-6,0.008579740044436828,0.057548814539875086,0.8914304592523827
Azerbaijan,2016,0.03156713194861245,0.03097116011089061,0.8963923429729121,0.041069364895869605,7.171510475035253e-11
Bahrain,2016,0.049521160688401844,2.6494109668114614e-4,0.22142662510063918,0.7266851579463475,0.002102115167930274
Bangladesh,2016,0.07847033613282697,0.9012934978428535,0.020235641173973043,5.248503460348849e-7,1.1386618864399584e-16
Belarus,2016,0.024040986711512082,0.00448253001065098,0.713731917060471,0.25774453239926726,3.381809846334479e-8
Belgium,2016,0.05758213698360912,8.410222821894408e-6,0.038021649584893104,0.37651264132208434,0.5278751618865918
Benin,2016,0.03177180128196372,0.9681668961189863,6.130259886392776e-5,1.8632375887695678e-13,4.550623141851291e-27
Bhutan,2016,0.9457853086753116,0.04451289175782255,0.009691003421666271,1.0661672902559799e-5,1.3447229647650273e-7
Bolivia,2016,0.16188228573883653,0.11586571535040573,0.701521813667527,0.020730171543596472,1.3699634042353649e-8
Bosnia and Herzegovina,2016,0.0655823285312947,0.5722966492430666,0.36190150562292733,2.1951660270765625e-4,3.978461515987351e-15
Botswana,2016,0.07339741524409378,0.3713979537481306,0.5539848136571756,0.0012198173503851098,2.147471883406168e-13
Brazil,2016,0.01850799482000194,5.071533714487706e-4,0.343875319199426,0.6371012684047315,8.264204391899155e-6
Bulgaria,2016,0.030703855298886827,0.10939601095537754,0.8582832993665197,0.0016168343792155114,3.707118017410708e-16
Burkina Faso,2016,0.04837780308677231,0.9509466911198216,6.755056601212456e-4,1.332845200677244e-10,7.102950484172008e-22
Burundi,2016,0.03027867157079573,0.9697201910096833,1.1374195208293354e-6,1.097655351125079e-18,3.80511426189048e-37
Cambodia,2016,0.46630516385525755,0.5317819605384413,0.0019128646267495201,1.0979538821634623e-8,1.3213075888498179e-14
Cameroon,2016,0.05598466964065143,0.9390292349612697,0.004986078752031516,1.6646047513278965e-8,4.883789071545433e-19
Canada,2016,0.017452034366911937,1.702029918728736e-8,1.735129395583305e-5,1.3957816345852884e-5,0.9825166395024872
Chad,2016,0.01727947432398028,0.9825422293015269,1.7829637388668828e-4,6.057870675154738e-13,4.8632353148919537e-29
Chile,2016,0.08430759629572596,0.0011555805675335638,0.3586977122947624,0.5551824373744063,6.566734675718202e-4
China,2016,0.015702052353199297,0.009131701230295292,0.9240452898045023,0.05112095660859582,3.4072206509487e-12
Colombia,2016,0.01943198768910811,0.0021060519152449482,0.6032797677458946,0.3751820798150004,1.1283475168751667e-7
Comoros,2016,0.02907506810217562,0.9698035827424416,0.0011213489287590491,2.266236810378598e-10,4.132272198423356e-23
Costa Rica,2016,0.031829100176411954,1.1029521842093313e-4,0.16538964719956123,0.8003158248996588,0.002355132505947012
Croatia,2016,0.036104464055998715,0.07243019437213295,0.8789220824189634,0.012543259150596326,2.3082879685831356e-12
Cyprus,2016,0.04726412526257858,0.016151333550934663,0.8054050161019217,0.1311794950487303,3.003583465146374e-8
Czech Republic,2016,0.005693467984679815,9.905889515288778e-5,0.3372793870608473,0.6569280498203249,3.623899487687251e-8
Denmark,2016,0.005917634549545482,8.743873308378103e-10,2.240790597776218e-6,2.245396084500878e-6,0.9940778783893851
Dominican Republic,2016,0.1164370631909593,0.025968082518022823,0.7445323407056511,0.11306186136685935,6.522185071754577e-7
Ecuador,2016,0.029315455896213528,0.004996812606019473,0.6980605361899941,0.26762710004312196,9.52646512217267e-8
El Salvador,2016,0.027767619114849307,0.01952734029942773,0.8879118013150499,0.06479323906870776,2.0196556291130556e-10
Estonia,2016,0.012611120952126671,6.718315535252598e-4,0.4559546554543332,0.5307621550663529,2.3697366191972336e-7
Ethiopia,2016,0.15129112297036001,0.8479227654686372,7.861110825017639e-4,4.785011019352127e-10,1.1241016393063342e-18
Finland,2016,0.0038038146214356815,6.989671115688319e-9,5.262641643719582e-5,3.20556377491505e-4,0.9958229955949647
France,2016,0.006438118834571992,1.648935801572434e-5,0.10456913260644635,0.8888849009013922,9.135829957386467e-5
Gabon,2016,0.048301082576376,0.5196850620146273,0.43190376465342967,1.1009075556700679e-4,1.7886520013501096e-17
Georgia,2016,0.11280407076988488,0.7441866587763284,0.14295472136700632,5.454908671577277e-5,6.437978847121542e-14
Germany,2016,0.025737219568851978,8.750908608936155e-7,0.002855854358790458,0.017884735239060607,0.9535213157424363
Ghana,2016,0.04400396049343126,0.9461108717048764,0.00988511214911108,5.5652580905465324e-8,2.9538155480411055e-19
Greece,2016,0.023723634087470923,0.018175464385574422,0.9567817627319858,0.0013191387949685685,1.8719755990790297e-18
Guatemala,2016,0.29924396044311846,0.04737896039041315,0.6004329734718373,0.052940472180818446,3.633513812540303e-6
Guinea,2016,0.06969590450006788,0.9302821630521957,2.1932447706081266e-5,3.0541955363684816e-14,2.8869141740153795e-26
Haiti,2016,0.2386308655827492,0.7613632909449932,5.843472254676112e-6,2.5579514988894383e-15,2.2144072959259176e-25
Honduras,2016,0.07650426212575201,0.5665284771248339,0.35667572101653616,2.915397328544215e-4,2.3347120925323133e-14
Hungary,2016,0.01683636595837177,0.015441369526883035,0.9497052170398148,0.018017047474857453,7.275264337016585e-14
Iceland,2016,0.013232920965941029,9.281340681099399e-8,2.0882238546944564e-4,6.545072737628451e-4,0.9859036565614199
India,2016,0.08418188185660284,0.9029640253235036,0.01285388571025523,2.0710963842882628e-7,7.11495046285321e-17
Indonesia,2016,0.7897511344023374,0.18698503719667484,0.023249700264025674,1.4124707033114092e-5,3.4299294095769757e-9
Iraq,2016,0.08905074043886944,0.6037524084886702,0.306946215407959,2.50635664438757e-4,6.241048302485574e-14
Ireland,2016,0.028108253606675942,1.1224334762794293e-7,9.06156546392899e-5,9.259333671854423e-5,0.9717084251586188
Israel,2016,0.0308563123105621,9.636640819676875e-5,0.15740844084142,0.8089526065851466,0.002686273854674826
Italy,2016,0.00928387689088832,8.520370534316248e-4,0.7151420666752925,0.27472201912580574,2.5458170547390615e-10
Jamaica,2016,0.06720116848120336,0.046925436172325384,0.8356896114023238,0.050183779652780924,4.291366607042996e-9
Japan,2016,0.0053076319179392135,1.4951379510287479e-5,0.10917058726231159,0.8854737034580844,3.312598215463505e-5
Jordan,2016,0.046809819914317916,0.04144863031087075,0.8673263698601038,0.04441517932435759,5.903497287902493e-10
Kazakhstan,2016,0.025577727455122334,0.004220859165007961,0.69029025096436,0.2799110947762838,6.76392258191981e-8
Kenya,2016,0.2475300715763097,0.7495863560130465,0.002883557124182568,1.528646048734171e-8,7.986174160917027e-16
Kosovo,2016,0.08883592817345831,0.6447082472931756,0.26628277607311873,1.7304846020803523e-4,3.932828506774871e-14
Kuwait,2016,0.02588545070102796,2.119961565601855e-4,0.22100534153513543,0.7525816937376347,3.155178696413632e-4
Latvia,2016,0.025361415833550977,0.012252200500709135,0.8594222327290784,0.1029641501675632,7.690981496449641e-10
Lebanon,2016,0.05350075696310014,0.12038342947423711,0.8164134573201858,0.009702356234263718,8.213223797709352e-12
Lesotho,2016,0.039496332753368196,0.9234277882757774,0.037075240112169505,6.388586844962406e-7,4.393752715312253e-19
Liberia,2016,0.02570105491068696,0.9742154035740221,8.35415150001155e-5,2.904485545910767e-13,1.7594118739678564e-27
Libya,2016,0.04893678375042911,0.02450293828743569,0.8392065332137908,0.08735373716141913,7.586925153003555e-9
Lithuania,2016,0.012252023394496044,0.002216440096675879,0.9571297880574401,0.02840174845137788,1.0228818063637568e-14
Luxembourg,2016,0.006799687453458857,4.345341742774471e-8,3.333956940319387e-4,0.002852279559472158,0.9900145938396195
Madagascar,2016,0.02044428351073442,0.9792272193782354,3.2849710550194455e-4,5.52816951743793e-12,1.325649678507921e-26
Malawi,2016,0.09396144364417403,0.9060033729807601,3.518337492873646e-5,1.3709827764724673e-13,1.3078605311001248e-24
Malaysia,2016,0.5173718745295368,0.030816034517862443,0.4093969998704848,0.042360375732593554,5.471534952203285e-5
